date,lottery_number,prime_minister
2/1/2000,85,Chuan
1/16/2000,82,Chuan
12/30/1999,3,Chuan
12/16/1999,30,Chuan
12/1/1999,79,Chuan
11/16/1999,14,Chuan
11/1/1999,3,Chuan
10/16/1999,28,Chuan
10/1/1999,80,Chuan
9/16/1999,46,Chuan
9/1/1999,33,Chuan
8/16/1999,65,Chuan
8/1/1999,98,Chuan
7/16/1999,3,Chuan
7/1/1999,67,Chuan
6/16/1999,63,Chuan
6/1/1999,8,Chuan
5/16/1999,16,Chuan
5/2/1999,45,Chuan
4/16/1999,35,Chuan
4/1/1999,92,Chuan
3/16/1999,63,Chuan
3/2/1999,58,Chuan
2/16/1999,41,Chuan
2/1/1999,69,Chuan
1/16/1999,13,Chuan
12/30/1998,50,Chuan
12/16/1998,55,Chuan
12/1/1998,58,Chuan
11/16/1998,20,Chuan
11/1/1998,29,Chuan
10/16/1998,74,Chuan
10/1/1998,18,Chuan
9/16/1998,65,Chuan
9/1/1998,96,Chuan
8/16/1998,91,Chuan
8/1/1998,22,Chuan
7/16/1998,52,Chuan
7/1/1998,65,Chuan
6/16/1998,19,Chuan
6/1/1998,67,Chuan
5/16/1998,63,Chuan
5/2/1998,72,Chuan
4/16/1998,17,Chuan
4/1/1998,66,Chuan
3/16/1998,79,Chuan
3/1/1998,74,Chuan
2/16/1998,69,Chuan
2/1/1998,48,Chuan
1/16/1998,34,Chuan
12/30/1997,65,Chuan
12/16/1997,71,Chuan
12/1/1997,86,Chuan
11/16/1997,99,Chuan
11/1/1997,39,Chavalit
10/16/1997,98,Chavalit
10/1/1997,24,Chavalit
9/16/1997,98,Chavalit
9/1/1997,59,Chavalit
8/16/1997,30,Chavalit
8/1/1997,31,Chavalit
7/16/1997,67,Chavalit
7/1/1997,11,Chavalit
6/16/1997,61,Chavalit
6/1/1997,24,Chavalit
5/16/1997,52,Chavalit
5/2/1997,38,Chavalit
4/16/1997,92,Chavalit
4/1/1997,52,Chavalit
3/16/1997,36,Chavalit
3/1/1997,98,Chavalit
2/16/1997,94,Chavalit
2/1/1997,57,Chavalit
1/16/1997,47,Chavalit
12/30/1996,26,Chavalit
12/16/1996,44,Chavalit
12/1/1996,66,Chavalit
11/16/1996,21,Chavalit
11/1/1996,24,Banharn
10/16/1996,18,Banharn
10/1/1996,97,Banharn
9/16/1996,59,Banharn
9/1/1996,2,Banharn
8/16/1996,19,Banharn
8/1/1996,61,Banharn
7/16/1996,91,Banharn
7/1/1996,76,Banharn
6/16/1996,21,Banharn
6/1/1996,81,Banharn
5/17/1996,75,Banharn
5/2/1996,54,Banharn
4/16/1996,77,Banharn
4/1/1996,90,Banharn
3/16/1996,27,Banharn
3/1/1996,72,Banharn
2/16/1996,49,Banharn
2/1/1996,26,Banharn
1/16/1996,21,Banharn
12/30/1995,4,Banharn
12/16/1995,68,Banharn
12/1/1995,74,Banharn
11/16/1995,85,Banharn
11/1/1995,7,Banharn
10/16/1995,86,Banharn
10/1/1995,76,Banharn
9/16/1995,51,Banharn
9/1/1995,83,Banharn
8/16/1995,51,Banharn
8/1/1995,59,Banharn
7/16/1995,96,Banharn
7/1/1995,19,Chuan
6/16/1995,82,Chuan
6/1/1995,17,Chuan
5/17/1995,55,Chuan
5/2/1995,88,Chuan
4/16/1995,99,Chuan
4/1/1995,6,Chuan
3/16/1995,67,Chuan
3/1/1995,71,Chuan
2/16/1995,95,Chuan
2/1/1995,48,Chuan
1/16/1995,40,Chuan
12/30/1994,90,Chuan
12/16/1994,50,Chuan
12/1/1994,2,Chuan
11/16/1994,82,Chuan
