prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.6,400,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.6,500,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.6,600,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.6,700,55,93,0,51,1.0,0.3716,0.3542,0.5419
0.6,800,55,91,0,53,1.0,0.3767,0.3681,0.5473
0.6,900,55,89,0,55,1.0,0.3819,0.3819,0.5528
0.6,1000,55,83,0,61,1.0,0.3986,0.4236,0.5699
0.6,1100,55,80,0,64,1.0,0.4074,0.4444,0.5789
0.6,1200,55,76,0,68,1.0,0.4198,0.4722,0.5914
0.6,1300,55,72,0,72,1.0,0.4331,0.5,0.6044
0.6,1400,55,66,0,78,1.0,0.4545,0.5417,0.625
0.6,1500,55,63,0,81,1.0,0.4661,0.5625,0.6358
0.6,1600,54,62,1,82,0.9818,0.4655,0.5694,0.6316
0.6,1700,54,57,1,87,0.9818,0.4865,0.6042,0.6506
0.6,1800,54,51,1,93,0.9818,0.5143,0.6458,0.675
0.6,1900,53,47,2,97,0.9636,0.53,0.6736,0.6839
0.6,2000,53,42,2,102,0.9636,0.5579,0.7083,0.7067
0.6,2100,52,38,3,106,0.9455,0.5778,0.7361,0.7172
0.6,2200,52,36,3,108,0.9455,0.5909,0.75,0.7273
0.6,2300,50,31,5,113,0.9091,0.6173,0.7847,0.7353
0.6,2400,49,30,6,114,0.8909,0.6203,0.7917,0.7313
0.6,2500,49,29,6,115,0.8909,0.6282,0.7986,0.7368
0.6,2600,48,25,7,119,0.8727,0.6575,0.8264,0.75
0.6,2700,46,21,9,123,0.8364,0.6866,0.8542,0.7541
0.6,2800,45,19,10,125,0.8182,0.7031,0.8681,0.7563
0.6,2900,43,19,12,125,0.7818,0.6935,0.8681,0.735
0.6,3000,43,19,12,125,0.7818,0.6935,0.8681,0.735
0.6,3100,43,15,12,129,0.7818,0.7414,0.8958,0.7611
0.6,3200,43,15,12,129,0.7818,0.7414,0.8958,0.7611
0.6,3300,43,13,12,131,0.7818,0.7679,0.9097,0.7748
0.6,3400,43,11,12,133,0.7818,0.7963,0.9236,0.789
0.6,3500,42,8,13,136,0.7636,0.84,0.9444,0.8
0.6,3600,39,8,16,136,0.7091,0.8298,0.9444,0.7647
0.6,3700,38,8,17,136,0.6909,0.8261,0.9444,0.7525
0.6,3800,37,8,18,136,0.6727,0.8222,0.9444,0.74
0.6,3900,35,7,20,137,0.6364,0.8333,0.9514,0.7216
0.6,4000,34,6,21,138,0.6182,0.85,0.9583,0.7158
0.6,4100,34,5,21,139,0.6182,0.8718,0.9653,0.7234
0.6,4200,32,5,23,139,0.5818,0.8649,0.9653,0.6957
0.6,4300,31,5,24,139,0.5636,0.8611,0.9653,0.6813
